x,y,time,TAG,res_time
650713.074667012,5901755.95659912,2020-08-21T17:15:00Z,31001001060,2.72828634977341
650743.934511689,5901758.79821727,2020-08-21T17:15:30Z,31001001060,2.6484254360199
650784.449341642,5901774.72066613,2020-08-21T17:16:00Z,31001001060,2.62483047246933
650818.758874946,5901788.78957153,2020-08-21T17:16:30Z,31001001060,2.60540355443955
650853.568860157,5901809.11742655,2020-08-21T17:17:00Z,31001001060,2.55087655385335
650887.651360306,5901828.30579685,2020-08-21T17:17:30Z,31001001060,2.56526250441869
650922.002676848,5901841.63782132,2020-08-21T17:18:00Z,31001001060,2.73811785380046
650959.843204931,5901859.92794096,2020-08-21T17:18:30Z,31001001060,2.85447761615117
650993.963701346,5901874.38828936,2020-08-21T17:19:00Z,31001001060,2.79341816107432
651014.256705017,5901887.53245074,2020-08-21T17:19:30Z,31001001060,2.78503897984823
651044.67371728,5901897.65633163,2020-08-21T17:20:00Z,31001001060,2.79174801111221
651081.922064095,5901920.49433946,2020-08-21T17:20:30Z,31001001060,2.77804015080134
651115.497238541,5901939.44574607,2020-08-21T17:21:00Z,31001001060,2.6351716597875
651152.442505825,5901961.46192793,2020-08-21T17:21:30Z,31001001060,2.65796174208323
651186.398406216,5901970.91167028,2020-08-21T17:22:00Z,31001001060,2.7261690735817
651216.034708814,5901982.46029599,2020-08-21T17:22:30Z,31001001060,2.77869258324305
651247.74713354,5902002.99118008,2020-08-21T17:23:00Z,31001001060,2.85058512687683
651277.648529889,5902022.17654047,2020-08-21T17:23:30Z,31001001060,2.76594051917394
651307.699996869,5902038.93555242,2020-08-21T17:24:00Z,31001001060,2.67625990708669
651338.671891429,5902059.10935257,2020-08-21T17:24:30Z,31001001060,2.70485166708628
651374.401205948,5902081.49476252,2020-08-21T17:25:00Z,31001001060,4.0461677591006
651407.20116184,5902099.93866169,2020-08-21T17:25:30Z,31001001060,5.11958795785904
651438.245872584,5902113.31844043,2020-08-21T17:26:00Z,31001001060,5.49151873588562
651472.535136239,5902134.189626,2020-08-21T17:26:30Z,31001001060,5.79831667343775
651508.535247407,5902155.01082905,2020-08-21T17:27:00Z,31001001060,5.0085221529007
651541.888152429,5902173.95101435,2020-08-21T17:27:30Z,31001001060,3.43079170783361
651573.349306133,5902195.99946307,2020-08-21T17:28:00Z,31001001060,2.52713598410289
651606.839914017,5902217.86845078,2020-08-21T17:28:30Z,31001001060,2.54356284141541
651640.5696227,5902241.1366995,2020-08-21T17:29:00Z,31001001060,2.51512978076935
651673.105273725,5902261.8753967,2020-08-21T17:29:30Z,31001001060,2.50116306145986
651706.998449472,5902281.53296928,2020-08-21T17:30:00Z,31001001060,2.50930392742157
651743.810335056,5902301.0485308,2020-08-21T17:30:30Z,31001001060,2.5387112736702
651775.385970837,5902324.4813396,2020-08-21T17:31:00Z,31001001060,12.4300551613172
651808.992928823,5902347.16389071,2020-08-21T17:31:30Z,31001001060,12.1503887335459
651838.024133112,5902366.30228129,2020-08-21T17:32:00Z,31001001060,11.6224116961161
651856.050966322,5902375.89859949,2020-08-21T17:32:30Z,31001001060,11.2241011897723
651857.140419281,5902375.77953652,2020-08-21T17:33:00Z,31001001060,11.1992024938265
651855.00330931,5902376.08610147,2020-08-21T17:33:30Z,31001001060,11.2479485591253
651858.061212529,5902376.92590052,2020-08-21T17:34:00Z,31001001060,11.1777105887731
651858.078205813,5902377.57186679,2020-08-21T17:34:30Z,31001001060,11.1769896149635
651856.071406699,5902375.73185042,2020-08-21T17:35:00Z,31001001060,11.2236757040024
651856.537988839,5902376.33744383,2020-08-21T17:35:30Z,31001001060,11.2128332773844
651857.542081461,5902376.42799352,2020-08-21T17:36:00Z,31001001060,11.1898129900297
651855.76812225,5902375.85055334,2020-08-21T17:36:30Z,31001001060,11.2305742541949
651856.2427728,5902376.69565284,2020-08-21T17:37:00Z,31001001060,11.2194396853447
651856.023380098,5902376.00217047,2020-08-21T17:37:30Z,31001001060,11.2247025450071
651856.73226241,5902375.6189796,2020-08-21T17:38:00Z,31001001060,11.2085837841034
651855.632154154,5902374.66589717,2020-08-21T17:38:30Z,31001001060,11.2338426629702
651856.960946236,5902376.37237188,2020-08-21T17:39:00Z,31001001060,11.2031443039576
651856.94466978,5902376.66105567,2020-08-21T17:39:30Z,31001001060,11.2034069418907
651856.898582718,5902375.91565451,2020-08-21T17:40:00Z,31001001060,11.2047096769015
651857.492362683,5902376.76348717,2020-08-21T17:40:30Z,31001001060,11.1908231377602
651845.409506077,5902382.42639058,2020-08-21T17:41:00Z,31001001060,11.4562302271525
651814.968719194,5902403.94845245,2020-08-21T17:41:30Z,31001001060,11.9757694800695
651780.216771505,5902420.1801671,2020-08-21T17:42:00Z,31001001060,12.3889982104301
651744.836096672,5902430.92969175,2020-08-21T17:42:30Z,31001001060,2.62310613393784
651707.103230733,5902441.58896706,2020-08-21T17:43:00Z,31001001060,2.59591346581777
651671.469800627,5902457.27934125,2020-08-21T17:43:30Z,31001001060,2.57509276072184
651632.489655416,5902464.03545554,2020-08-21T17:44:00Z,31001001060,2.58171300490697
651591.421020499,5902460.95376923,2020-08-21T17:44:30Z,31001001060,2.74788875579834
651555.426415398,5902458.80570244,2020-08-21T17:45:00Z,31001001060,3.47361710866292
651517.568460447,5902456.57013782,2020-08-21T17:45:30Z,31001001060,3.28457705577215
651490.735999932,5902450.93129249,2020-08-21T17:46:00Z,31001001060,4.79931528170904
651486.738104258,5902431.49945556,2020-08-21T17:46:30Z,31001001060,5.64199843804042
651493.134573793,5902394.38492598,2020-08-21T17:47:00Z,31001001060,5.377652378877
651490.634051439,5902357.93916493,2020-08-21T17:47:30Z,31001001060,5.00542173782984
651459.862024964,5902374.37240111,2020-08-21T17:48:00Z,31001001060,6.35888830423355
651431.283341185,5902400.10493843,2020-08-21T17:48:30Z,31001001060,7.4703354994456
