time_agg,TAG,NBS,SD,x,y,Long,Lat,time,speed_in,angle,VARX,VARY,count,speed_smooth
1598028450,31001001060,3.9,8.80470805887448,650375.124348852,5901907.58377057,5.2536606956162,53.245113559837,1598028462.75,1.19324056670541,109.547982261362,1.0002205,1.321103,20,1.19324056670541
1598028480,31001001060,3.53846153846154,12.5410045250181,650344.370284798,5901881.635626,5.25319144715724,53.2448842817691,1598028490.38462,1.45608227180004,82.7993688472829,5.36548224852071,3.59799763313609,13,1.19324056670541
1598028510,31001001060,3.94444444444444,9.52041975373659,650314.110073904,5901864.92417201,5.25272144057843,53.2447369141225,1598028521.5,1.11096467317985,133.260965563141,2.52113765432099,1.54369845679012,18,1.17913810822185
1598028540,31001001060,3.90909090909091,10.8347151168448,650282.044194698,5901847.71392231,5.25224680539926,53.2445985471555,1598028552.36364,1.17913810822185,107.494949156451,4.19237024793388,3.80043966942149,11,1.17913810822185
1598028570,31001001060,3.81818181818182,9.86974587935161,650253.075559247,5901833.10917715,5.25179566848368,53.2444775231145,1598028584.59091,1.00666149742015,118.637706823332,3.66453929752066,1.49733739669422,22,1.13508369034313
1598028600,31001001060,4,7.73008492900236,650216.579646357,5901813.58656824,5.25125288201871,53.2443074899896,1598028617.81818,1.24564595599576,95.4217484163758,3.3860694214876,1.71319421487603,11,1.13508369034313
1598028630,31001001060,4,8.55496493883353,650195.106259826,5901797.57416208,5.25092773011365,53.2441736273389,1598028641.41667,1.13508369034313,116.783446960952,3.21107229166667,2.37559402777778,12,1.00666149742015
1598028660,31001001060,4.875,5.42503077840354,650171.393372903,5901783.87584279,5.2505495465052,53.2440596291892,1598028675.83333,0.795693647918328,121.020266184217,0.676308802083333,0.430589253472222,24,0.795693647918328
1598028690,31001001060,4.86666666666667,4.0076099582101,650170.395876467,5901781.78203912,5.25053421110644,53.2440373384505,1598028704.5,0.0809047643940269,147.217619827988,0.195673077777778,0.222487111111111,30,0.697869166336529
1598028720,31001001060,4.9,5.05505703219464,650170.574546989,5901760.84672654,5.25051841948261,53.243846867433,1598028734.5,0.697869166336529,120.721442539492,0.248562411111111,0.272256366666667,30,0.577459906314715
1598028750,31001001060,5.7037037037037,9.61163315053588,650176.864702064,5901745.15367395,5.25061460249193,53.2437043693587,1598028763.77778,0.577459906314715,98.9046761729423,0.888804732510288,1.05882543209877,27,0.577459906314715
1598028780,31001001060,5.03333333333333,7.09984363912621,650177.414878131,5901743.50561569,5.25062564446243,53.243694997372,1598028794.5,0.0565540621512592,130.363066855309,0.387934266666667,0.557776544444445,30,0.653951926362936
1598028810,31001001060,5.52,6.49100061722137,650195.397598,5901743.6912487,5.25089341929127,53.2436876960964,1598028822,0.653951926362936,102.692097714932,0.436503568,0.54739968,25,0.653951926362936
1598028840,31001001060,5.4,7.73106305423275,650236.540131917,5901734.99815554,5.25150851019079,53.2435959393507,1598028857.15,1.19632708996526,108.935347186224,0.740365625,1.092866975,20,1.18179986530333
1598028870,31001001060,5.42857142857143,6.32634407286256,650267.572172804,5901727.98005164,5.25196310727571,53.2435230074602,1598028884.07143,1.18179986530333,133.649516659039,0.333463737244898,0.548175854591837,28,1.19632708996526
1598028900,31001001060,5.18181818181818,8.62892195986316,650302.13723601,5901741.07281548,5.25248846657712,53.2436391235777,1598028912.31818,1.3085276147925,111.463406275669,0.745995826446281,1.22944305785124,22,1.26503812656878
1598028930,31001001060,5.44444444444445,7.28185051218226,650342.513355531,5901750.59734253,5.25309840713902,53.2437071903108,1598028945.11111,1.26503812656878,97.5554423142458,0.419466186556927,0.711198696844993,27,1.29881712535249
1598028960,31001001060,5.13333333333333,8.48245504774121,650380.647384753,5901748.92247359,5.25366707464041,53.2436771805326,1598028974.5,1.29881712535249,126.881968599999,0.511175633333333,0.943414211111111,30,1.3085276147925
1598028990,31001001060,5.35714285714286,6.85597135958896,650422.420393996,5901753.92683807,5.25429843739257,53.2437098906713,1598029005.5,1.35715162215178,131.502607933771,0.320470191326531,0.649502551020408,28,1.29881712535249
1598029020,31001001060,5.1,7.21434195652246,650460.32580958,5901758.41726965,5.25486675603878,53.2437487880886,1598029034.5,1.31622297985931,127.049570469118,0.323195633333333,0.718328155555556,30,1.29881712535249
1598029050,31001001060,5.36363636363636,11.1893582124218,650485.315713263,5901764.419968,5.25524530658155,53.2437910475226,1598029055.54545,1.22120113565533,126.296153536152,6.04115512396694,14.7700514876033,11,1.22120113565533
1598029080,31001001060,5.64,6.49969745001611,650506.39035583,5901762.60513154,5.25555690734415,53.243764257534,1598029097,0.510261058800408,93.6393749428535,0.331505104,0.705353104,25,0.998317533956097
1598029110,31001001060,5.96666666666667,5.27627583551926,650525.678573339,5901743.06870208,5.25583581265483,53.2435895089947,1598029124.5,0.998317533956097,100.908915007926,0.177612788888889,0.404946911111111,30,0.510261058800408
1598029140,31001001060,5.5,11.256386476577,650529.052320241,5901735.82727254,5.25588215702258,53.2435245837383,1598029155.5,0.257702306149465,164.767789606292,1.202607675,3.0735463,20,0.257702306149465
1598029170,31001001060,5.51851851851852,8.81379070136447,650528.284146112,5901734.1486225,5.25587437556548,53.2435095587155,1598029183.11111,0.0668595111921317,110.184462718039,0.553000521262003,1.4721251303155,27,0.257702306149465
1598029200,31001001060,5.7,5.30942266590028,650528.871064454,5901738.03228689,5.25587873534394,53.2435435704837,1598029214.5,0.125132273127414,137.153277414483,0.180508622222222,0.4111615,30,0.125132273127414
1598029230,31001001060,5.89285714285714,5.27488450193408,650528.4144618,5901745.94842275,5.2558784464448,53.2436121911639,1598029245,0.259976831035905,128.321167499383,0.179329528061224,0.443523775510204,28,0.0668595111921317
1598029260,31001001060,5.4,6.49091414085043,650527.740283994,5901745.39299035,5.25587333506296,53.2436134377437,1598029274.5,0.0296105307458055,133.407499727082,0.294190855555556,0.637892788888889,30,0.109083582094984
1598029290,31001001060,4.42307692307692,9.42922785699552,650527.150148805,5901744.58236706,5.25585959570865,53.2436025225187,1598029303.5,0.0345752150315642,149.874381651843,0.621766863905326,1.22990192307692,26,0.0816819453657072
1598029320,31001001060,4.25,11.6994307850431,650529.281793515,5901747.40376367,5.25588505819278,53.2436182785657,1598029335.91667,0.109083582094984,152.464725951334,0.995038715277778,2.42273524305556,24,0.0345752150315642
1598029350,31001001060,4.16,10.8882716983461,650527.923289839,5901745.54324874,5.25587373238333,53.2436103441015,1598029364.12,0.0816819453657072,174.178030591531,0.76994976,1.80825456,25,0.0481534323502761
1598029380,31001001060,4.34615384615385,10.5740193087232,650527.904230815,5901745.7466808,5.25587529362963,53.2436141874014,1598029393.19231,0.00702809396180817,173.877887817828,0.712405192307692,1.64283047337278,26,0.0816819453657072
1598029410,31001001060,4.5625,12.771692600046,650528.27517144,5901747.22342625,5.25587834984642,53.2436275878583,1598029424.8125,0.0481534323502761,173.64764572677,1.619927734375,4.09820078125,16,0.0481534323502761
1598029440,31001001060,4.65217391304348,9.98336429089292,650525.456795239,5901743.47438452,5.25582850555635,53.243593550038,1598029455.65217,0.152085332649072,152.472937072618,0.886224744801512,1.83684952741021,23,0.0481534323502761
1598029470,31001001060,4.54545454545455,10.2835242639239,650526.284049322,5901744.44039253,5.25584967410168,53.2435992662861,1598029483.95455,0.0449367964625435,93.8805101891711,0.887335330578513,1.74476404958678,22,0.0985394490648525
1598029500,31001001060,4.92592592592593,8.97112150761272,650524.874784727,5901741.8832968,5.25582905220674,53.2435848880098,1598029513.22222,0.0997592011042133,143.978632558365,0.561267215363512,1.07893278463649,27,0.0985394490648525
1598029530,31001001060,5.03846153846154,8.54458441360931,650526.167226423,5901744.70634372,5.25584827859101,53.2436067878437,1598029544.73077,0.0985394490648525,127.256676137575,0.531919659763314,1.05291642011834,26,0.0677257758993388
1598029560,31001001060,4.96428571428571,7.91391363292846,650525.517231933,5901743.23171341,5.25584202855979,53.2435978386552,1598029574.21429,0.0546586606895778,140.166603648363,0.432573086734694,0.829449617346939,28,0.0677257758993388
1598029590,31001001060,5,7.83747126630115,650526.291064819,5901745.14692499,5.25584792088711,53.2436088079683,1598029604.71429,0.0677257758993388,126.716809720881,0.408372321428571,0.81836875,28,0.0546586606895778
1598029620,31001001060,5,7.2335528719311,650526.285432156,5901744.36680732,5.25584464967762,53.2436003868401,1598029635.25,0.0255483790394951,118.066628258318,0.417484201388889,0.849727256944444,24,0.0255483790394951
1598029650,31001001060,5,5.64069670643334,650526.912469171,5901744.74710791,5.25585742347153,53.2436108512764,1598029664.5,0.025071835322802,137.837092929974,0.169612533333333,0.472986111111111,30,0.0255483790394951
1598029680,31001001060,5,5.62876150060741,650526.414131776,5901745.24282492,5.2558538660613,53.2436095859586,1598029694.5,0.023430168416327,122.592744607328,0.170432433333333,0.479787888888889,30,0.0255483790394951
1598029710,31001001060,5.13333333333333,5.16211410972969,650527.728795313,5901746.16978733,5.25586296994583,53.2436139077282,1598029724.5,0.053620057689878,118.090978903913,0.142699288888889,0.439464744444444,30,0.025071835322802
1598029740,31001001060,6,4.36412146585497,650526.643930931,5901745.38700896,5.2558526607101,53.2436098074471,1598029754.5,0.0445928831735005,127.660312297454,0.1409206,0.267912144444444,30,0.0348033749895173
1598029770,31001001060,6,4.4214984189731,650526.728499253,5901745.30495969,5.25585519791425,53.2436110039179,1598029784.5,0.00392766324802419,142.257885309843,0.142404855555556,0.274576355555556,30,0.0348033749895173
1598029800,31001001060,6.03333333333333,4.62181952092391,650526.910930921,5901746.33299962,5.25585728132782,53.2436175496001,1598029814.5,0.0348033749895173,118.969339955945,0.145028133333333,0.307670477777778,30,0.0301554948393076
1598029830,31001001060,5.96666666666667,5.45851822744611,650526.496274963,5901745.5289605,5.25585472392256,53.2436136080675,1598029844.5,0.0301554948393076,137.894802017664,0.187853933333333,0.412999111111111,30,0.0284360521552215
1598029860,31001001060,6,4.92161116006954,650527.246883064,5901745.88017351,5.25586789819104,53.2436122998842,1598029874.5,0.0276237238008989,131.731003425896,0.168079955555556,0.367806111111111,30,0.0301554948393076
1598029890,31001001060,5.96666666666667,4.58784157787914,650527.127700208,5901745.03545841,5.25585936595198,53.2436090138946,1598029904.5,0.0284360521552215,126.350433246356,0.1414759,0.316180333333333,30,0.0301554948393076
1598029920,31001001060,5.34782608695652,7.43089427546061,650530.465522423,5901746.25731832,5.25590486320118,53.2436132926209,1598029934.65217,0.117883164204163,148.977052210318,0.476801871455577,1.02561742911153,23,0.117883164204163
1598029950,31001001060,5.43333333333333,5.80077889427398,650552.598873291,5901748.84030838,5.25624489148365,53.2436381331473,1598029964.5,0.746572305375814,118.796512042113,0.197213655555556,0.476234955555556,30,0.746572305375814
1598029980,31001001060,5.26666666666667,6.79473173149068,650584.738772938,5901753.07305865,5.25672946942795,53.2436641812298,1598029994.5,1.08058077188366,140.119085047593,0.247712922222222,0.648309733333333,30,1.08058077188366
1598030010,31001001060,5.53333333333333,6.18499600022065,650619.098092598,5901750.05358282,5.25723770945824,53.2436221999172,1598030024.5,1.1497246442355,134.306333889555,0.1985521,0.546214666666667,30,1.1497246442355
1598030040,31001001060,5.13333333333333,6.89771525715558,650653.901953967,5901749.54611589,5.2577599524086,53.2436100895019,1598030054.5,1.16025202667859,70.0394757641818,0.244959966666667,0.667578111111111,30,1.16025202667859
1598030070,31001001060,5.36666666666667,6.32078512184005,650692.097068298,5901752.19695524,5.25833400964685,53.2436241495114,1598030084.5,1.27623304560523,119.810913279044,0.2088267,0.577611166666667,30,1.21638306185185
