x,y,time,TAG,res_time
649892.354544905,5901807.86650066,1598267681,31001001060,5.16722291310628
649887.227669709,5901807.86650066,1598267682,31001001060,5.1851060907046
649887.227669709,5901807.86650066,1598267683,31001001060,5.1851060907046
649882.985447143,5901807.86650066,1598267684,31001001060,5.19352012077967
649880.99597001,5901807.45520239,1598267685,31001001060,5.19454730351766
649878.558562969,5901807.45520239,1598267686,31001001060,5.19951425393423
649877.346178918,5901807.45520239,1598267687,31001001060,5.20122511784236
649873.332687303,5901807.45520239,1598267688,31001001060,5.20677284002304
649872.677723072,5901804.76689265,1598267689,31001001060,5.17629508972168
649863.541008223,5901802.65886723,1598267690,31001001060,5.19791630506516
649846.366372484,5901801.87976962,1598267693,31001001060,5.21947444279989
649840.134834914,5901801.87976962,1598267695,31001001060,5.22121783494949
649835.914167142,5901801.87976962,1598267698,31001001060,5.21003612677256
649835.914167142,5901801.87976962,1598267699,31001001060,5.21003612677256
649817.815002242,5901798.81800323,1598267703,31001001060,5.22316280206045
649803.031418537,5901798.81800323,1598267707,31001001060,5.23780637582143
649799.426942595,5901797.78746804,1598267708,31001001060,5.23541417916616
649799.424377262,5901795.5065416,1598267709,31001001060,5.22287499904633
649796.734441523,5901795.5065416,1598267710,31001001060,5.22623742024104
649796.734441523,5901795.23379362,1598267711,31001001060,5.22479112148285
649793.201660224,5901795.23379362,1598267712,31001001060,5.22874778111776
649793.201660224,5901795.23379362,1598267713,31001001060,5.22874778111776
649783.739314362,5901795.23379362,1598267714,31001001060,5.25526331663132
649778.440763981,5901795.5404437,1598267715,31001001060,5.26627798080444
649778.146096734,5901795.5404437,1598267716,31001001060,5.26671229998271
649775.636861837,5901801.49617818,1598267717,31001001060,5.31908607880274
649773.768756364,5901801.49617818,1598267718,31001001060,5.32158662875493
649770.397180123,5901801.49617818,1598267719,31001001060,5.32474080721537
649770.397180123,5901801.49617818,1598267720,31001001060,5.32474080721537
649770.397180123,5901801.49617818,1598267721,31001001060,5.32474080721537
649767.344579586,5901801.49617818,1598267722,31001001060,5.32599404652913
649766.27548936,5901801.68933055,1598267723,31001001060,5.32779796123505
649762.323209845,5901803.44597279,1598267724,31001001060,5.35439942677816
649759.374098402,5901803.44597279,1598267725,31001001060,5.36560757954915
649758.215459668,5901803.44597279,1598267726,31001001060,5.37193990548452
649757.495298881,5901803.44597279,1598267727,31001001060,5.37508630752564
649753.552170501,5901803.44597279,1598267728,31001001060,5.38804525136948
649749.771877058,5901803.44597279,1598267729,31001001060,5.39407074451447
649745.780993308,5901806.35480844,1598267730,31001001060,5.41579735676448
649744.778547981,5901806.35480844,1598267731,31001001060,5.41561819712321
649742.373407942,5901806.35480844,1598267732,31001001060,5.41366370916367
649738.663541565,5901806.36310795,1598267733,31001001060,5.41049083868663
649734.964542199,5901806.36310795,1598267734,31001001060,5.40642966032028
649730.771498307,5901807.19629151,1598267735,31001001060,5.40715404748917
