X,Y,Species,Cluster_ID
256236,767412,Mulberry,12
256241,767429,Melia azedarach,29
256209,767477,Palm,18
256170,767478,Washingtonia,35
256161,767436,Mulberry,11
256157,767436,Washingtonia,36
256146,767443,Lychee,2
256144,767452,Annona,4
256161,767480,Date palm,8
256163,767484,Date palm,8
256145,767502,Guava,8
256145,767513,Mulberry,13
256152,767513,Wampi,1
256142,767539,Melia azedarach,20
256144,767539,Melia azedarach,20
256134,767526,Ficus carica,36
256133,767508,Melia azedarach,20
256111,767517,Washingtonia,37
256125,767565,Melia azedarach,20
256116,767567,Melia azedarach,20
256106,767569,Melia azedarach,20
256098,767585,Melia azedarach,20
256124,767491,Loquat,17
256147,767508,Carambola,1
256131,767465,Washingtonia,36
256132,767460,Melia azedarach,30
256111,767456,Washingtonia,36
256103,767452,Ficus benjamina,10
256096,767450,Ficus benjamina,10
256091,767448,Ficus benjamina,10
256107,767463,Ficus microcarpa,4
256117,767463,Washingtonia,36
256097,767461,Guava,9
256100,767461,Ficus microcarpa,4
256083,767456,Washingtonia,36
256083,767421,Ficus carica,37
256091,767413,Loquat,18
256071,767434,Ficus,4
256066,767467,Ficus carica,38
256052,767472,Palm,19
256047,767478,Guava,10
256058,767504,Melia azedarach,31
256061,767504,Loquat,19
256049,767548,Melia azedarach,32
256052,767548,Ficus carica,39
256044,767567,Melia azedarach,32
256044,767576,Melia azedarach,32
256019,767535,Melia azedarach,32
256011,767513,Ficus carica,40
256018,767459,Palm,19
256021,767459,Guava,10
256017,767459,Washingtonia,38
256023,767441,Washingtonia,38
256030,767439,Washingtonia,38
256018,767446,Washingtonia,38
256018,767435,Washingtonia,38
255977,767430,Washingtonia,38
256015,767415,Palm,19
256016,767400,Palm,19
255990,767339,Papaya,3
256007,767334,Palm,20
255975,767374,Washingtonia,39
255976,767380,Guava,11
255976,767393,Date palm,9
256012,767424,Palm,19
255982,767446,Washingtonia,38
255977,767474,Loquat,20
255963,767518,Ficus carica,41
255929,767586,Jujube,2
255941,767590,Loquat,21
255941,767592,Loquat,21
255944,767601,Loquat,21
255975,767637,Washingtonia,40
255974,767624,Loquat,21
255978,767624,Loquat,21
255998,767627,Washingtonia,40
256001,767627,Loquat,21
256037,767639,Carob,7
256267,767778,Date palm,10
256285,767763,Mulberry,14
256303,767771,Washingtonia,23
